mutation_id	replicate	prevalence
1	1	1	1
2	2	1	1
3	3	1	1
4	4	1	0.067
5	5	1	0.27
6	1	2	1
7	2	2	1
8	3	2	0.41
9	4	2	0.13
10	5	2	NA
11	1	3	1
12	2	3	1
13	3	3	NA
14	4	3	0
15	5	3	NA
16	1	4	1
17	2	4	0.8
18	3	4	1
19	4	4	0.13
20	5	4	NA
21	1	5	1
22	2	5	1
23	3	5	NA
24	4	5	0.27
25	5	5	0.25
26	1	6	0.6
27	2	6	0.6
28	3	6	0.59
29	4	6	0.067
30	5	6	NA
31	1	7	1
32	2	7	0.86
33	3	7	0.6
34	4	7	0.067
35	5	7	NA
36	1	8	1
37	2	8	1
38	3	8	0.8
39	4	8	0.13
40	5	8	NA
41	1	9	1
42	2	9	0.73
43	3	9	1
44	4	9	0.4
45	5	9	0.27
46	1	10	1
47	2	10	0.867
48	3	10	NA
49	4	10	0.33
50	5	10	0.24
51	1	11	1
52	2	11	1
53	3	11	NA
54	4	11	0.2
55	5	11	0.13
56	1	12	1
57	2	12	0.8
58	3	12	NA
59	4	12	0.067
60	5	12	0.43
61	1	13	0.94
62	2	13	0.8
63	3	13	0.67
64	4	13	0.067
65	5	13	NA
66	1	14	1
67	2	14	0.933
68	3	14	NA
69	4	14	0.067
70	5	14	NA
71	1	15	1
72	2	15	0.47
73	3	15	NA
74	4	15	0.13
75	5	15	NA
76	1	16	0.8
77	2	16	1
78	3	16	0.5
79	4	16	0.067
80	5	16	0.27
81	1	17	1
82	2	17	0.73
83	3	17	NA
84	4	17	0.2
85	5	17	NA
86	1	18	1
87	2	18	0.94
88	3	18	NA
89	4	18	0.4
90	5	18	NA
91	1	19	1
92	2	19	0.933
93	3	19	0.32
94	4	19	0.13
95	5	19	0.24
96	1	20	1
97	2	20	1
98	3	20	1
99	4	20	0.27
100	5	20	NA
101	1	21	0.933
102	2	21	1
103	3	21	NA
104	4	21	0.067
105	5	21	NA
106	1	22	1
107	2	22	0.73
108	3	22	0.27
109	4	22	0.067
110	5	22	NA
111	1	23	0.933
112	2	23	0.67
113	3	23	NA
114	4	23	0.067
115	5	23	NA
116	1	24	0.867
117	2	24	0.8
118	3	24	0.41
119	4	24	0.13
120	5	24	0.17
121	1	25	0.8
122	2	25	1
123	3	25	NA
124	4	25	0.2
125	5	25	0.33
126	1	26	1
127	2	26	1
128	3	26	0.59
129	4	26	0.13
130	5	26	NA
131	1	27	1
132	2	27	0.8
133	3	27	0.937
134	4	27	0.13
135	5	27	NA
136	1	28	0.933
137	2	28	0.933
138	3	28	NA
139	4	28	0.067
140	5	28	0.17
141	1	29	0.933
142	2	29	0.6
143	3	29	NA
144	4	29	0.067
145	5	29	NA
146	1	30	0.933
147	2	30	1
148	3	30	NA
149	4	30	0.067
150	5	30	NA
