depth	mutation_id	replicate	prevalence
1	30	1	1	0.882352941176471
2	30	2	1	0.941176470588235
3	30	3	1	1
4	30	4	1	0.0714285714285714
5	30	5	1	0.266666666666667
6	30	1	2	1
7	30	2	2	1
8	30	3	2	0.833333333333333
9	30	4	2	0.111111111111111
10	30	5	2	0.266666666666667
11	30	1	3	1
12	30	2	3	0.941176470588235
13	30	3	3	0.307692307692308
14	30	4	3	0
15	30	5	3	0.2
16	30	1	4	1
17	30	2	4	1
18	30	3	4	0.846153846153846
19	30	4	4	0.117647058823529
20	30	5	4	0.266666666666667
21	30	1	5	0.941176470588235
22	30	2	5	1
23	30	3	5	0.538461538461538
24	30	4	5	0.222222222222222
25	30	5	5	0.466666666666667
26	30	1	6	0.5
27	30	2	6	0.5
28	30	3	6	0.583333333333333
29	30	4	6	0.0769230769230769
30	30	5	6	0.466666666666667
31	30	1	7	1
32	30	2	7	0.866666666666667
33	30	3	7	0.545454545454545
34	30	4	7	0.0769230769230769
35	30	5	7	0.4
36	30	1	8	1
37	30	2	8	1
38	30	3	8	0.8
39	30	4	8	0.166666666666667
40	30	5	8	0.533333333333333
41	30	1	9	0.894736842105263
42	30	2	9	0.55
43	30	3	9	0.583333333333333
44	30	4	9	0.375
45	30	5	9	0.266666666666667
46	30	1	10	1
47	30	2	10	0.928571428571429
48	30	3	10	0.692307692307692
49	30	4	10	0.384615384615385
50	30	5	10	0.466666666666667
51	30	1	11	0.894736842105263
52	30	2	11	1
53	30	3	11	0.5
54	30	4	11	0.214285714285714
55	30	5	11	0.133333333333333
56	30	1	12	1
57	30	2	12	0.8
58	30	3	12	0.642857142857143
59	30	4	12	0.0588235294117647
60	30	5	12	0.466666666666667
61	30	1	13	0.933333333333333
62	30	2	13	0.857142857142857
63	30	3	13	0.666666666666667
64	30	4	13	0.0769230769230769
65	30	5	13	0.133333333333333
66	30	1	14	1
67	30	2	14	1
68	30	3	14	0.285714285714286
69	30	4	14	0.0666666666666667
70	30	5	14	0.266666666666667
71	30	1	15	1
72	30	2	15	0.583333333333333
73	30	3	15	0.571428571428571
74	30	4	15	0.142857142857143
75	30	5	15	0.2
76	30	1	16	1
77	30	2	16	1
78	30	3	16	0.5
79	30	4	16	0.0588235294117647
80	30	5	16	0.266666666666667
81	30	1	17	1
82	30	2	17	0.785714285714286
83	30	3	17	0.571428571428571
84	30	4	17	0.157894736842105
85	30	5	17	0.2
86	30	1	18	1
87	30	2	18	0.933333333333333
88	30	3	18	0.692307692307692
89	30	4	18	0.461538461538462
90	30	5	18	0.2
91	30	1	19	1
92	30	2	19	0.875
93	30	3	19	0.666666666666667
94	30	4	19	0.125
95	30	5	19	0.466666666666667
96	30	1	20	1
97	30	2	20	1
98	30	3	20	1
99	30	4	20	0.25
100	30	5	20	0.266666666666667
101	30	1	21	0.823529411764706
102	30	2	21	1
103	30	3	21	0.538461538461538
104	30	4	21	0.0666666666666667
105	30	5	21	0.2
106	30	1	22	1
107	30	2	22	0.647058823529412
108	30	3	22	0.538461538461538
109	30	4	22	0.0769230769230769
110	30	5	22	0.466666666666667
111	30	1	23	0.823529411764706
112	30	2	23	0.714285714285714
113	30	3	23	0.615384615384615
114	30	4	23	0.0588235294117647
115	30	5	23	0.266666666666667
116	30	1	24	0.764705882352941
117	30	2	24	1
118	30	3	24	0.833333333333333
119	30	4	24	0.142857142857143
120	30	5	24	0.333333333333333
121	30	1	25	0.571428571428571
122	30	2	25	0.9375
123	30	3	25	0.692307692307692
124	30	4	25	0.214285714285714
125	30	5	25	0.333333333333333
126	30	1	26	0.882352941176471
127	30	2	26	1
128	30	3	26	0.583333333333333
129	30	4	26	0.153846153846154
130	30	5	26	0.666666666666667
131	30	1	27	1
132	30	2	27	0.6
133	30	3	27	0.909090909090909
134	30	4	27	0.142857142857143
135	30	5	27	0.4
136	30	1	28	1
137	30	2	28	1
138	30	3	28	0.538461538461538
139	30	4	28	0.0833333333333333
140	30	5	28	0.333333333333333
141	30	1	29	1
142	30	2	29	0.642857142857143
143	30	3	29	0.714285714285714
144	30	4	29	0.0666666666666667
145	30	5	29	0.333333333333333
146	30	1	30	1
147	30	2	30	1
148	30	3	30	0.857142857142857
149	30	4	30	0.0833333333333333
150	30	5	30	0.333333333333333
151	60	1	1	1
152	60	2	1	1
153	60	3	1	0.571428571428571
154	60	4	1	0.0833333333333333
155	60	5	1	0.466666666666667
156	60	1	2	0.966666666666667
157	60	2	2	1
158	60	3	2	0.791666666666667
159	60	4	2	0.05
160	60	5	2	0.333333333333333
161	60	1	3	1
162	60	2	3	0.878787878787879
163	60	3	3	0.72
164	60	4	3	0.0909090909090909
165	60	5	3	0.466666666666667
166	60	1	4	0.828571428571429
167	60	2	4	0.757575757575758
168	60	3	4	0.481481481481482
169	60	4	4	0.272727272727273
170	60	5	4	0.166666666666667
171	60	1	5	1
172	60	2	5	1
173	60	3	5	0.4
174	60	4	5	0.0571428571428571
175	60	5	5	0.5
176	60	1	6	0.9
177	60	2	6	0.84375
178	60	3	6	0.586206896551724
179	60	4	6	0.037037037037037
180	60	5	6	0.166666666666667
181	60	1	7	1
182	60	2	7	0.805555555555556
183	60	3	7	0.5
184	60	4	7	0.107142857142857
185	60	5	7	0.366666666666667
186	60	1	8	1
187	60	2	8	0.647058823529412
188	60	3	8	0.4
189	60	4	8	0.125
190	60	5	8	0.466666666666667
191	60	1	9	1
192	60	2	9	0.606060606060606
193	60	3	9	0.772727272727273
194	60	4	9	0.107142857142857
195	60	5	9	0.2
196	60	1	10	0.666666666666667
197	60	2	10	0.923076923076923
198	60	3	10	0.714285714285714
199	60	4	10	0.15625
200	60	5	10	0.4
201	60	1	11	1
202	60	2	11	0.911764705882353
203	60	3	11	0.607142857142857
204	60	4	11	0.307692307692308
205	60	5	11	0.3
206	60	1	12	1
207	60	2	12	0.966666666666667
208	60	3	12	0.259259259259259
209	60	4	12	0.242424242424242
210	60	5	12	0.333333333333333
211	60	1	13	1
212	60	2	13	1
213	60	3	13	0.72
214	60	4	13	0.0384615384615385
215	60	5	13	0.5
216	60	1	14	1
217	60	2	14	1
218	60	3	14	0.392857142857143
219	60	4	14	0.115384615384615
220	60	5	14	0.266666666666667
221	60	1	15	1
222	60	2	15	0.888888888888889
223	60	3	15	0.458333333333333
224	60	4	15	0.206896551724138
225	60	5	15	0.333333333333333
226	60	1	16	0.96
227	60	2	16	1
228	60	3	16	0.566666666666667
229	60	4	16	0.025
230	60	5	16	0.5
231	60	1	17	0.870967741935484
232	60	2	17	0.787878787878788
233	60	3	17	0.708333333333333
234	60	4	17	0.136363636363636
235	60	5	17	0.433333333333333
236	60	1	18	1
237	60	2	18	0.956521739130435
238	60	3	18	0.607142857142857
239	60	4	18	0.0434782608695652
240	60	5	18	0.4
241	60	1	19	1
242	60	2	19	0.611111111111111
243	60	3	19	0.583333333333333
