depth	mutation_id	replicate	prevalence
1	30	1	1	1
2	30	2	1	1
3	30	3	1	1
4	30	4	1	0.067
5	30	5	1	0.27
6	30	1	2	1
7	30	2	2	1
8	30	3	2	0.41
9	30	4	2	0.13
10	30	5	2	NA
11	30	1	3	1
12	30	2	3	1
13	30	3	3	NA
14	30	4	3	0
15	30	5	3	NA
16	30	1	4	1
17	30	2	4	0.8
18	30	3	4	1
19	30	4	4	0.13
20	30	5	4	NA
21	30	1	5	1
22	30	2	5	1
23	30	3	5	NA
24	30	4	5	0.27
25	30	5	5	0.25
26	30	1	6	0.6
27	30	2	6	0.6
28	30	3	6	0.59
29	30	4	6	0.067
30	30	5	6	NA
31	30	1	7	1
32	30	2	7	0.86
33	30	3	7	0.6
34	30	4	7	0.067
35	30	5	7	NA
36	30	1	8	1
37	30	2	8	1
38	30	3	8	0.8
39	30	4	8	0.13
40	30	5	8	NA
41	30	1	9	1
42	30	2	9	0.73
43	30	3	9	1
44	30	4	9	0.4
45	30	5	9	0.27
46	30	1	10	1
47	30	2	10	0.867
48	30	3	10	NA
49	30	4	10	0.33
50	30	5	10	0.24
51	30	1	11	1
52	30	2	11	1
53	30	3	11	NA
54	30	4	11	0.2
55	30	5	11	0.13
56	30	1	12	1
57	30	2	12	0.8
58	30	3	12	NA
59	30	4	12	0.067
60	30	5	12	0.43
61	30	1	13	0.94
62	30	2	13	0.8
63	30	3	13	0.67
64	30	4	13	0.067
65	30	5	13	NA
66	30	1	14	1
67	30	2	14	0.933
68	30	3	14	NA
69	30	4	14	0.067
70	30	5	14	NA
71	30	1	15	1
72	30	2	15	0.47
73	30	3	15	NA
74	30	4	15	0.13
75	30	5	15	NA
76	30	1	16	0.8
77	30	2	16	1
78	30	3	16	0.5
79	30	4	16	0.067
80	30	5	16	0.27
81	30	1	17	1
82	30	2	17	0.73
83	30	3	17	NA
84	30	4	17	0.2
85	30	5	17	NA
86	30	1	18	1
87	30	2	18	0.94
88	30	3	18	NA
89	30	4	18	0.4
90	30	5	18	NA
91	30	1	19	1
92	30	2	19	0.933
93	30	3	19	0.32
94	30	4	19	0.13
95	30	5	19	0.24
96	30	1	20	1
97	30	2	20	1
98	30	3	20	1
99	30	4	20	0.27
100	30	5	20	NA
101	30	1	21	0.933
102	30	2	21	1
103	30	3	21	NA
104	30	4	21	0.067
105	30	5	21	NA
106	30	1	22	1
107	30	2	22	0.73
108	30	3	22	0.27
109	30	4	22	0.067
110	30	5	22	NA
111	30	1	23	0.933
112	30	2	23	0.67
113	30	3	23	NA
114	30	4	23	0.067
115	30	5	23	NA
116	30	1	24	0.867
117	30	2	24	0.8
118	30	3	24	0.41
119	30	4	24	0.13
120	30	5	24	0.17
121	30	1	25	0.8
122	30	2	25	1
123	30	3	25	NA
124	30	4	25	0.2
125	30	5	25	0.33
126	30	1	26	1
127	30	2	26	1
128	30	3	26	0.59
129	30	4	26	0.13
130	30	5	26	NA
131	30	1	27	1
132	30	2	27	0.8
133	30	3	27	0.937
134	30	4	27	0.13
135	30	5	27	NA
136	30	1	28	0.933
137	30	2	28	0.933
138	30	3	28	NA
139	30	4	28	0.067
140	30	5	28	0.17
141	30	1	29	0.933
142	30	2	29	0.6
143	30	3	29	NA
144	30	4	29	0.067
145	30	5	29	NA
146	30	1	30	0.933
147	30	2	30	1
148	30	3	30	NA
149	30	4	30	0.067
150	30	5	30	NA
151	60	1	1	0.9
152	60	2	1	1
153	60	3	1	NA
154	60	4	1	0.067
155	60	5	1	0.47
156	60	1	2	0.96
157	60	2	2	1
158	60	3	2	0.38
159	60	4	2	0.067
160	60	5	2	0.18
161	60	1	3	1
162	60	2	3	0.967
163	60	3	3	0.36
164	60	4	3	0.1
165	60	5	3	NA
166	60	1	4	0.967
167	60	2	4	0.833
168	60	3	4	NA
169	60	4	4	0.3
170	60	5	4	NA
171	60	1	5	1
172	60	2	5	0.933
173	60	3	5	NA
174	60	4	5	0.067
175	60	5	5	0.43
176	60	1	6	0.9
177	60	2	6	0.9
178	60	3	6	NA
179	60	4	6	0.033
180	60	5	6	NA
181	60	1	7	1
182	60	2	7	0.967
183	60	3	7	NA
184	60	4	7	0.1
185	60	5	7	0.33
186	60	1	8	1
187	60	2	8	0.73
188	60	3	8	NA
189	60	4	8	0.13
190	60	5	8	NA
191	60	1	9	1
192	60	2	9	0.67
193	60	3	9	0.78
194	60	4	9	0.1
195	60	5	9	NA
196	60	1	10	0.867
197	60	2	10	0.8
198	60	3	10	0.71
199	60	4	10	0.17
200	60	5	10	0.35
201	60	1	11	1
202	60	2	11	1
203	60	3	11	NA
204	60	4	11	0.27
205	60	5	11	NA
206	60	1	12	1
207	60	2	12	0.96
208	60	3	12	NA
209	60	4	12	0.27
210	60	5	12	NA
211	60	1	13	1
212	60	2	13	0.9
213	60	3	13	0.36
214	60	4	13	0.033
215	60	5	13	NA
216	60	1	14	1
217	60	2	14	0.867
218	60	3	14	NA
